date_month,localizacao
2024-01-05,"NOVO HAMBURGO, RIO GRANDE DO SUL"
2024-02-01,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-01,"CERRO GRANDE DO SUL, RIO GRANDE DO SUL"
2024-02-01,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-02-01,"TRIUNFO, RIO GRANDE DO SUL"
2024-02-01,"SÃO LEOPOLDO, RIO GRANDE DO SUL"
2024-02-06,"IMBÉ, RIO GRANDE DO SUL"
2024-02-07,"PAVERAMA, RIO GRANDE DO SUL"
2024-02-07,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-02-08,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-08,"SANTO ANTÔNIO DAS MISSÕES, RIO GRANDE DO SUL"
2024-02-08,"ITACURUBI, RIO GRANDE DO SUL"
2024-02-08,"SÃO VICENTE DO SUL, RIO GRANDE DO SUL"
2024-02-08,"ALEGRETE, RIO GRANDE DO SUL"
2024-02-08,"QUARAÍ, RIO GRANDE DO SUL"
2024-02-08,"TRIUNFO, RIO GRANDE DO SUL"
2024-02-08,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-02-09,"SANTO ANTÔNIO DAS MISSÕES, RIO GRANDE DO SUL"
2024-02-10,"URUGUAIANA, RIO GRANDE DO SUL"
2024-02-15,"HERVAL, RIO GRANDE DO SUL"
2024-02-19,"CRISTAL, RIO GRANDE DO SUL"
2024-02-22,"PEDRAS ALTAS, RIO GRANDE DO SUL"
2024-02-22,"DOM FELICIANO, RIO GRANDE DO SUL"
2024-02-22,"CRUZ ALTA, RIO GRANDE DO SUL"
2024-02-22,"CAÇAPAVA DO SUL, RIO GRANDE DO SUL"
2024-02-22,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-02-29,"MINAS DO LEÃO, RIO GRANDE DO SUL"
2024-03-02,"NOVO HAMBURGO, RIO GRANDE DO SUL"
2024-03-06,"MANOEL VIANA, RIO GRANDE DO SUL"
2024-03-06,"PEDRAS ALTAS, RIO GRANDE DO SUL"
2024-03-06,"AMARAL FERRADOR, RIO GRANDE DO SUL"
2024-03-06,"CACHOEIRA DO SUL, RIO GRANDE DO SUL"
2024-03-06,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-03-06,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-03-06,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-03-07,"BAGÉ, RIO GRANDE DO SUL"
2024-03-07,"CANOAS, RIO GRANDE DO SUL"
2024-03-07,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-03-11,"TRIUNFO, RIO GRANDE DO SUL"
2024-03-11,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-03-12,"BOSSOROCA, RIO GRANDE DO SUL"
2024-03-12,"URUGUAIANA, RIO GRANDE DO SUL"
2024-03-12,"GENERAL CÂMARA, RIO GRANDE DO SUL"
2024-03-12,"SÃO SEBASTIÃO DO CAÍ, RIO GRANDE DO SUL"
2024-03-13,"SÃO PEDRO DO SUL, RIO GRANDE DO SUL"
2024-03-20,"BAGÉ, RIO GRANDE DO SUL"
2024-03-24,"ALEGRETE, RIO GRANDE DO SUL"
2024-03-29,"SERTÃO SANTANA, RIO GRANDE DO SUL"
2024-03-30,"SÃO JERÔNIMO, RIO GRANDE DO SUL"
